Attribute,Value
MeanAmplitude,0.31275059423827156
StdAmplitude,0.17623361823613057
MeanSpeed,0.5103642238575283
StdSpeed,0.15358811583440535
MeanRMSVelocity,1.5749529068969361
StdRMSVelocity,0.3256538979472425
MeanOpeningSpeed,1.3263843946454672
stdOpeningSpeed,0.31967362988979703
meanClosingSpeed,1.0670104757125678
stdClosingSpeed,0.6572029545819996
meanCycleDuration,0.6590909090909091
stdCycleDuration,0.42630451227975835
rangeCycleDuration,1.3166666666666664
rate,1.189189189189189
amplitudeDecay,1.2884405816476814
velocityDecay,0.9794100647813886
rateDecay,0.7754629629629629
cvAmplitude,0.5634957102651117
cvCycleDuration,0.6468068462175645
cvSpeed,0.3009382489108024
cvRMSVelocity,0.20677056216802364
cvOpeningSpeed,0.24101130198779475
cvClosingSpeed,0.6159292430030814
