Attribute,Value
MeanAmplitude,0.10780302928225191
StdAmplitude,0.04361288999487482
MeanSpeed,0.31349249057894
StdSpeed,0.09914354381390163
MeanRMSVelocity,0.8689279626512766
StdRMSVelocity,0.23682579342856108
MeanOpeningSpeed,0.7116109775821488
stdOpeningSpeed,0.26802480447508564
meanClosingSpeed,0.6917917529224583
stdClosingSpeed,0.34533780880998294
meanCycleDuration,0.34487179487179487
stdCycleDuration,0.10985316839390727
rangeCycleDuration,0.6166666666666663
rate,2.775800711743772
amplitudeDecay,1.7044937720995292
velocityDecay,1.5105116708271733
rateDecay,1.046119235095613
cvAmplitude,0.4045608948584064
cvCycleDuration,0.3185333507332627
cvSpeed,0.3162549240998054
cvRMSVelocity,0.2725493983482327
cvOpeningSpeed,0.3766451234152648
cvClosingSpeed,0.4991933010925778
